,Dish,Meta,URL,Pic,Ingredients,Quantities,times
10,MOB'S PERI PERI PIE,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/peri-peri-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c0392969387e13f1ab9b/1577101951085/PROPOSED+IMAGE.jpg,"2 Sheet of Jus-Rol Shortcrust Pastry
3 Peppers (2 Red, 1 Yellow)
8 Skinless, Boneless Chicken Thighs
2 Egg Yolks
2 Red Onion
3 Tsp of Oregano
400g of Kidney Beans (For Blind Baking)
3 Tsp of Smoked Paprika
3 Cloves of Garlic
2 Red Chillies
3 Tbsp of Plain Flour
500ml of Chicken Stock
2 Bay Leaves
1 Lemon
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
11,MEATLESS SAUSAGE ROLLS,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-sausage-rolls,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df7525634929a2cbf40785e/1576501216997/9K8A1207+%281%29.png,"1 Pack of Meatless Farm Mince
6 Shallots
1 Sheet of Vegan Puff Pastry
Handful of Sage
100g of Chestnuts
70g of Dried Apricots
1 Tbsp of Poppy Seeds
1/2 Tsp of Nutmeg
50ml of Oat Milk
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes
12,GOAT’S CHEESE AND PEAR TART,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/goats-cheese-pear-tart,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df23eb7997bef3b2e0f0c4f/1576242060765/9K8A1090+%281%29.jpg,"3 Red Onions
Bunch of Thyme
1 Tbsp of Balsamic Vinegar
1 Tbsp of Caster Sugar
1 Can of Del Monte® Pear Halves in Juice
160g of Goat’s Cheese
320g Sheet of Puff Pastry
30g Rocket
80g Walnuts (Optional)
3 Tbsp of Semi-Skimmed Milk
1 Large Egg
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 50 Minutes
13,MOB'S STUFFING GNOCCHI,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/stuffing-gnocchi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df0d994c4c6bc16efcb9878/1576169776199/9K8A1492.jpg,"180g of Panko Breadcrumbs
1 Onion 
2 Celery Stalks 
3 Cloves of Garlic
Small Bunch of Rosemary 
6 Pork Sausages
1 Tsp Chilli Flakes 
750ml Chicken Stock 
2 x 500g Packs Fresh Gnocchi 
1 Lemon
Bunch of Parsley
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking time (Including Preparation Time): 40 minutes
14,PESTO SAUSAGE ROLLS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/pesto-sausage-rolls,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dee25e85e5ce97f94f9d1bd/1576067342154/9K8A0502+%283%29.jpg,"1 Sheet of Jus-Rol Chilled Puff Pastry
1 Onion
2 Tbsp of Dried Rosemary
1 Tbsp of Fennel Seeds
1 Tbsp of Red Pesto
1 Ball of Mozzarella
6 Pork Sausages
3 Egg Yolks
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
15,LEFTOVER TURKEY BÁNH MÌ,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/turkey-banh-mi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de918f8f8738501956930e2/1575648856121/banh+mi.jpg,"550g of Leftover Turkey
1 Heaped Tbsp of Lemongrass Paste
1 Heaped Tbsp of Ginger Paste
2 Cloves of Garlic
1 Tsp of Honey
2 Tbsp of Fish Sauce
4 Tbsp of Mayonnaise
4 Tbsp of Sriracha
1 Cucumber
2 Carrots
12 Radishes
1 Red Chilli
Bunch of Coriander 
3 Tbsp of White Wine Vinegar
100g of Chicken Pâté
2 Medium Baguettes
Vegetable Oil
Salt",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes
16,AUBERGINE AND RICOTTA PASTA⁠,FEED 4 FOR UNDER £10,http://www.mobkitchen.co.uk/recipes/aubergine-ricotta-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de77aa2a6dd143c62696b75/1575545851817/9K8A0920+2.jpg,"2 Aubergines
6 Cloves of Garlic
2 Tins of Peeled Plum Tomatoes in Juice
Bunch of Basil
400g of Fusilli
250g of Ricotta
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour 15 Minutes
17,HALLOUMI IN BLANKETS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/halloumi-in-blankets,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de4dfbcfa7dda768152e059/1575311945872/9K8A0402+%281%29.jpg,"2 Sheets of Jus-Rol Chilled Puff Pastry
2 Blocks of Halloumi
1 Tsp of Dried Dill
1 Tsp of Dried Oregano     
2 Tbsp of Harissa Paste
2 Tsp of Fennel Seeds
2 Egg Yolks
1 Cucumber
170g of Greek Yoghurt
1 Lemon
Bunch of Mint
Salt    
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
18,SWEET N SOUR TOFU,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/sweet-sour-tofu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dde5ea7a6666154ca901aa9/1575042516331/FINAL.jpg,"2 Packets of Naked Tofoo
1/2 a Pineapple
2 Tbsp Ketchup
1 Tbsp White Wine Vinegar
2 Tbsp of Sweet Chilli
400g of Rice
2 Peppers (Yellow and Red)
1 Onion
2 Spring Onions
6 Tbsp of Cornflour
Vegetable Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
19,CHORIZO BRUSSELS SPROUTS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/chorizo-brussels-sprouts,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dde515951c72e2c5ed1ca81/1574873474445/%232.jpg,"800g of Brussels Sprouts
1 Chorizo Ring
100g of Almonds
Bunch of Parsley
2 Tbsp of Sherry Vinegar
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
20,VEGETABLE MELTING POTS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/vegetable-melting-pots,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd65ea84cd12904862f8c8e/1574786722237/9K8A0034.jpg,"2 Seriously Melting Pots
2 Red Onions
2 Peppers (Red and Yellow)
1 Aubergine
1 Courgette
1 Tsp of Dried Rosemary
1 Tsp of Dried Oregano
5 Tbsp of Balsamic Glaze
Salt
Pepper
Olive Oil
1 Seriously Melting Pot
200g of Tenderstem Broccoli 
100g of Plain Flour
50g of Cornflour
1 Tbsp of Garlic Granules
1 Tbsp of Black Sesame Seeds
250ml Soda Water
1 Red Chilli
Vegetable Oil
Salt
Pepper
1 Seriously Melting Pot
500g of Carrots
1 Tbsp of Cornflour
2 Tsp Tarragon
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
21,CHICKEN CACCIATORE PASTA,PASTA MOB,http://www.mobkitchen.co.uk/recipes/chicken-cacciatore-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ddba134455f406d50e3dafd/1574764594856/9K8A0153+%281%29.jpg,"500g Napolina Bronze Die Penne Rigate
800g of Napolina Chopped Tomatoes
200g of Plain Flour
8 Chicken Thighs, Skin On
2 Celery Stalks
2 Carrots
1 Onion
2 Red Peppers
3 Cloves of Garlic
3 Sprigs of Rosemary
Bunch of Parsley
270ml of White Wine
60g of Kalamata Olives
Salt
Pepper
Napolina Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour 20 Minutes
22,PESTO VEGGIE TRAYBAKE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/pesto-veggie-traybake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd7b12d33d70f3babf1c520/1574432093610/9K8A9592.jpg,"150g of Mozzarella 
400g of Cherry Vine Tomatoes
½ Tsp of Chilli Flakes
½ Tbsp of Fennel Seeds
1 Tbsp of Oregano
1 Aubergine 
1 Courgette
1 Red Onion
3 Peppers (Red, Orange, Yellow)
1 Loaf of Ciabatta 
Bunch of Parsley
30g of Pine Nuts
4 Cloves of Garlic
70g of Parmesan
Bunch of Basil
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
23,MEXICAN INSPIRED EGGS,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/mexican-inspired-eggs,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd3bee062cbaa29569b86f6/1574268238647/Screen+Shot+2019-11-19+at+10.09.42.png,"1 Onion
2 Peppers (Red and Yellow)
1 Chorizo Ring
3 Tsp of Very Lazy Chopped Red Chillies
400g of Black Beans
4 Eggs
4 Soft Tortillas
2 Avocados
4 Tbsp of Feta Cheese
Bunch of Coriander
1 Lime
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes
24,SPICY LENTIL STEW,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/spicy-lentil-stew,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd2695539d8ba0c23bf4d85/1574087401234/9K8A9504.jpg,"1 Cauliflower
1 Tbsp of Turmeric
2 Tbsp of Paprika
2 Tbsp of Cumin
1 Tbsp of Chilli Flakes
Bunch of Coriander
3 Cloves of Garlic
Half a Lemon
250g of Coconut Yoghurt
1 Onion
1 Carrot
2 Tbsp of Tomato Purée
600g of Lentils (In Water)
1 Litre of Vegetable Stock
8 Cherry Tomatoes
100g of Spinach
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
25,ULTIMATE CHRISTMAS DINNER,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/ultimate-christmas-dinner,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd2893d39d8ba0c23c1a284/1574179405110/Screen+Shot+2019-11-18+at+11.59.56.png,"5.5kg Turkey 
8 Cumberland Sausages 
12 Chipolata Sausages
24 Smoked Streaky Bacon Rashers 
1kg Brussel Sprouts 
1kg Potatoes 
5 Cloves of Garlic
Carrots - 2 Per Person
Parsnips - 2 Per Person 
3 Onions 
110g Breadcrumbs 
1 Apple 
2 Knobs of Butter 
4 Tbsps of Goose Fat 
4 Tbsp of Plain Flour 
4 Tbsp of Cranberry Sauce 
2 Tbsp of Honey
250ml Red Wine 
Bunch of Rosemary 
Bunch of Sage 
Bunch of Tarragon 
Bunch of Parsley 
15 Cloves
1 Bay Leaf 
2 Tbsp of Peppercorns 
2 Pints Whole Milk 
Salt
Pepper
Olive Oil",Feeds: 8 People,Cooking Time (Includes Preparation Time): 5 Hours
26,MOB'S CHICKEN AND CHORIZO PIE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/chicken-chorizo-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcd7badb35742089d8d80c0/1573843393255/9K8A6999+%281%29.jpg,"2 Sheets of Puff Pastry
1 Chorizo Ring
8 Skinless, Boneless Chicken Thighs
6 Tbsp of Plain Flour
1 Egg
2 Peppers (Red and Yellow)
1 Onion
250ml of Cider
500ml of Chicken Stock
Bunch of Parsley
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
27,MOB’S CANNELLINI PASTA,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/cannellini-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcad6142bd87e424081eed2/1573843445415/FINAL.png,"125g Smoked Bacon
1 Onion
2 Celery Stalks
4 Carrots
2 Cloves of Garlic
175g of Parmesan
2 Bay Leaves
Bunch of Rosemary
1 Tsp of Chilli Flakes
800g of Cannellini Beans
1.4l of Chicken Stock
500g of Passata
500g of Macaroni
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes
28,PUMPKIN RISOTTO,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/pumpkin-risotto,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc92d06913dc6206ee77f28/1573490705509/9K8A9178.jpg,"1 Medium Pumpkin
25g of Butter
2 Cloves of Garlic
6 Shallots
350g of Risotto Rice
1l of Vegetable Stock
175g of Parmesan
Bunch of Parsley
Bunch of Rosemary
4 Tsp of Balsamic Glaze
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
29,BUTTERNUT SQUASH SOUP WITH GARLIC BREAD,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/butternut-soup,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc18b5032b00a7d3a7f43f2/1573232235944/new+VL.png,"2 Butternut Squash
2 Carrots
1 Onion
3 Tsp of Very Lazy Chopped Ginger
600ml of Vegetable Stock
2 Tsp of Very Lazy Chopped Garlic
Bunch of Parsley
2 Small Loaves of Ciabatta
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour 35 Minutes
30,TOMMI MIERS’ GRILLED MUSHROOM AND CHEESE TACOS,GUEST MOB,http://www.mobkitchen.co.uk/recipes/mushroom-cheese-tacos,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc2edd521ba1f5dbfd67812/1573125028552/9K8A6666.jpg,"1/2 a Bulb of Garlic
1 Ancho Chilli 
1 Chipotle Chilli
3 Tsp Thyme Leaves
Salt
Vegetable Oil
1kg White Button Mushrooms
200g of Cheddar Cheese
Half a Red Cabbage
Bunch of Parsley
8 Corn Tortillas
Salsa (To Serve)
1 Lime
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
31,MOB'S MEATLESS NACHOS,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-nachos,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc055d716a0bc58eab20af2/1573045223625/9K8A8985.jpg,"400g of Meatless Farm Mince (1 Pack)
7 Tomatoes
4 Spring Onions
1 Red Chilli
400g of Black Beans
2 Tsp of Harissa Paste
1/2 Avocado
1 Clove of Garlic
2 Bags of Tortilla Crisps
70g of Soaked Cashew Nuts
50g of Jalepeños
1 Lime
Bunch of Coriander
1 Red Onion
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 20 Minutes
32,MOB'S BACON RÖSTI'S,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/bacon-rosti,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbfee14bcfc042fbcd78054/1573035605376/9K8A3701.jpg,"1 Pack of Co-op’s Dry Cured Unsmoked Back Bacon Rashers
4 Spring Onions
3 Large Maris Piper Potatoes
4 Tbsp of Greek Yoghurt
4 Tsp of Harissa Paste
Bunch of Parsley
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
33,BUTTERNUT SQUASH WITH CHILLI CON CARNE,MEAL PREP MOB,http://www.mobkitchen.co.uk/recipes/butternut-squash-with-chilli-con-carne,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbb17a8c3d0ff42c37e8441/1572778822812/9K8A6281.jpg,"800g of Extra Lean Beef Mince
2 Butternut Squash
4 Red Peppers
6 Garlic Cloves
2 Onions
6 Red Chillies
2 Tbsp of Cumin
1 Tbsp of Cinnamon
1 Tbsp of Paprika
1000g of Tinned Tomatoes
800g of Red Kidney Beans
1 Tbsp of Honey
1 Lime
Bunch of Coriander
350g Block of Cheddar
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour 30 Minutes
34,SALT AND PEPPER TOFU,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/salt-pepper-tofu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbad9a0993e6469934e9369/1572613236398/9K8A7490.jpg,"5 Spring Onions
2 Cloves of Garlic
9 Bird’s Eye Chillies
2 Packs of The Tofoo Co. Extra Firm Smoked Tofu
6 Tbsp of Cornflour
½ Tsp of Sugar
Salt
Pepper
Vegetable Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 20 Minutes 
35,PRAWN AND CHORIZO ORZO,PASTA MOB,http://www.mobkitchen.co.uk/recipes/prawn-chorizo-orzo,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db9675957fbbb0401ea1973/1572441749096/9K8A8251.jpg,"1 Chorizo Ring
1 Tsp of Very Lazy Chopped Garlic
2 Tsp of Very Lazy Chopped Red Chillies
2 Punnets of Cherry Tomatoes
400g of Orzo
570ml of Chicken Stock
1 Pack of Raw King Prawns
Bunch of Basil
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
36,SPICY CHICKEN KATSU,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/spicy-chicken-katsu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da5f4555996745bbf32ed52/1572281866947/Screen+Shot+2019-10-25+at+10.35.45+%281%29.png,"3 Eggs
8 Skinless, Boneless Chicken Thighs
2 Tbsp of Sweet Chilli Sauce
2 Tbsp of Soy Sauce
8 Tbsp of Flour 
600ml of Chicken Stock
400g of Basmati Rice 
4 Tsp Curry Powder
2 Tsp of Chilli Powder
Knob of Ginger
4 Cloves of Garlic
2 Onions 
3 Carrots
200g of Panko Breadcrumbs
Vegetable Oil",na,Cooking Time (Includes Preparation Time): 45 Minutes
37,VEGGIE CRUNCH WRAP,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/veggie-crunch-wrap,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db2b88a8a62df0bc131266e/1572016107800/9K8A5941.jpg,"3 Cloves of Garlic
1 Can of Sweetcorn
1 Can of Old El Paso Refried Beans
1 Can of Kidney Beans
2 Red Peppers
2 Yellow Peppers
1 Courgette
4 Red Onions
1 Sachet of Old El Paso Smoky BBQ Seasoning
2 Bunches of Coriander
8 Regular Old El Paso Flour Tortillas
1 Bottle of Old El Paso Chunky Salsa
4 Avocados
3 Spring Onions
1 Lime
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time Includes Preparation Time: 1.5 Hours
38,ZERO WASTE VEGGIE CARBONARA,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/zero-waste-carbonara,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db1888cc601750202263e71/1577482657426/9K8A7710.jpg,"500g of Linguine 
2 Cloves of Garlic
2 Courgettes
Small Bunch of Thyme
6 Eggs 
1 Lemon
100g of Vegetarian Parmesan
Salt
Pepper ",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes
39,SWEET POTATO AND CHICKPEA CURRY,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/sweet-potato-chickpea-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5daec773844a3027f48074d5/1571833656247/9K8A5193-2.jpg,"2 Onions
2 Cloves of Garlic
Large Knob of Ginger
400ml of Coconut Milk
400g of Tinned Tomatoes
400g of Whole Cherry Tomatoes
400g Chickpeas
3 Sweet Potatoes
1 Tsp Garam Masala
1 Tsp Chilli Flakes
1 Tsp Cumin
1 Tsp Turmeric
200g of Spinach Leaves
4 Tbsp of Coconut Yoghurt
Bunch of Coriander
Salt
Pepper",Feeds: 4 People ,Cooking Time (Includes Preparation Time): 5 Hours 10 Minutes
40,MAX FOSH'S CHORIZO PESTO PASTA BAKE,PASTA MOB,http://www.mobkitchen.co.uk/recipes/pesto-pasta-bake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5daebda445e76364d77c95c6/1571906416894/9K8A5024.jpg,"400g of Penne Pasta
1 Chorizo Ring
200g of Roasted Red Peppers (In Jar)
200g of Sun-Dried Tomatoes 
50g of Parmesan
50g of Pine Nuts
1 Ball of Mozzarella
1 Bunch of Basil
2 Cloves of Garlic
2 Tbsp of Chilli Flakes
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
